GEO_ID,NAME,S1901_C01_001E
37001,"Alamance County, North Carolina",70125
37019,"Brunswick County, North Carolina",69478
37021,"Buncombe County, North Carolina",103428
37023,"Burke County, North Carolina",37296
37025,"Cabarrus County, North Carolina",87195
37027,"Caldwell County, North Carolina",33429
37031,"Carteret County, North Carolina",31294
37035,"Catawba County, North Carolina",67237
37037,"Chatham County, North Carolina",34020
37045,"Cleveland County, North Carolina",38712
37049,"Craven County, North Carolina",42575
37051,"Cumberland County, North Carolina",132366
37057,"Davidson County, North Carolina",68813
37063,"Durham County, North Carolina",140637
37067,"Forsyth County, North Carolina",156738
37069,"Franklin County, North Carolina",27803
37071,"Gaston County, North Carolina",95687
37081,"Guilford County, North Carolina",220704
37085,"Harnett County, North Carolina",50584
37089,"Henderson County, North Carolina",52076
37097,"Iredell County, North Carolina",74346
37101,"Johnston County, North Carolina",85906
37105,"Lee County, North Carolina",25234
37109,"Lincoln County, North Carolina",37830
37119,"Mecklenburg County, North Carolina",472427
37125,"Moore County, North Carolina",44625
37127,"Nash County, North Carolina",38214
37129,"New Hanover County, North Carolina",103978
37133,"Onslow County, North Carolina",75898
37135,"Orange County, North Carolina",58048
37141,"Pender County, North Carolina",26039
37147,"Pitt County, North Carolina",74938
37151,"Randolph County, North Carolina",58218
37155,"Robeson County, North Carolina",43716
37157,"Rockingham County, North Carolina",39830
37159,"Rowan County, North Carolina",58190
37171,"Surry County, North Carolina",31038
37179,"Union County, North Carolina",84214
37183,"Wake County, North Carolina",445464
37191,"Wayne County, North Carolina",47283
37193,"Wilkes County, North Carolina",26947
37195,"Wilson County, North Carolina",33587
